"skills","avg_salary"
"bitbucket","189155"
"splunk","185000"
"gdpr","184742"
"selenium","180000"
"neo4j","179517"
"golang","179200"
"cassandra","175166"
"dynamodb","172335"
"watson","169936"
"fastapi","166500"
"opencv","165833"
"tidyverse","165513"
"solidity","165000"
"no-sql","163000"
"elixir","161250"
"atlassian","159879"
"scala","157278"
"vue","156107"
"pytorch","155566"
"numpy","155473"
"tensorflow","155107"
"dplyr","155000"
"aurora","155000"
"microstrategy","154762"
"c","154573"
"hugging face","154322"
"php","153500"
"node","153333"
"scikit-learn","152449"
"rust","152255"
